name,address,type,no_bedrooms,no_bathrooms,area,latitude,longitude,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
"The Address Sky View","Downtown Dubai, Dubai","Apartment",3,4,2020,25.1972,55.2744,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"The Opus","Business Bay, Dubai","Apartment",2,3,1600,25.1841,55.2722,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"The Residences","Downtown Dubai, Dubai","Apartment",2,3,1500,25.1972,55.2744,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"The Springs 10","The Springs, Dubai","Villa",3,4,1690,25.0520,55.1810,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"The Meadows 4","Meadows, Dubai","Villa",5,6,3970,25.0650,55.1700,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"The Villa Ponderosa","The Villa, Dubai","Villa",6,7,5700,25.0730,55.3830,12000000,11600000,11200000,10800000,10400000,10000000,9600000,9200000,8800000,8400000,8000000
"District One Villas","District One, Mohammed Bin Rashid City, Dubai","Villa",5,6,7543,25.1700,55.2880,25000000,24500000,24000000,23500000,23000000,22500000,22000000,21500000,21000000,20500000,20000000
"Samara","Arabian Ranches 2, Dubai","Villa",4,5,3076,25.0456,55.2708,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"Lila","Arabian Ranches 2, Dubai","Villa",4,5,3839,25.0456,55.2708,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Marbella Village","Victory Heights, Dubai Sports City, Dubai","Villa",5,6,3630,25.0478,55.2211,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"Pelham","Akoya Park, DAMAC Hills, Dubai","Villa",4,5,2200,25.0030,55.2470,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Rockwood","DAMAC Hills, Dubai","Villa",4,5,2500,25.0030,55.2470,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000
"Silver Springs 3","DAMAC Hills, Dubai","Villa",5,6,2000,25.0030,55.2470,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000
"Noor Townhouses","Town Square, Dubai","Townhouse",3,4,2026,24.8572,55.2708,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000,2050000,2000000
"Elan","Tilal Al Ghaf, Dubai","Townhouse",4,5,2152,25.0260,55.2320,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000
"Aura","Tilal Al Ghaf, Dubai","Villa",4,5,3410,25.0260,55.2320,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"MBL Residence","JLT Cluster K, Jumeirah Lake Towers, Dubai","Apartment",2,2,752,25.0725,55.1440,1800000,1750000,1700000,1650000,1600000,1550000,1500000,1450000,1400000,1350000,1300000
"5242 Tower 2","5242, Dubai Marina, Dubai","Apartment",2,2,1131,25.0800,55.1400,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Seven Palm","Palm Jumeirah, Dubai","Apartment",2,2,1131,25.1122,55.1386,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Opera Grand","Burj Khalifa Area, Downtown Dubai, Dubai","Apartment",3,4,1646,25.1972,55.2744,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"Creek Palace","Dubai Creek Harbour (The Lagoons), Dubai","Apartment",3,4,1663,25.2050,55.3430,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Beach Isle","EMAAR Beachfront, Dubai Harbour, Dubai","Apartment",2,2,1214,25.0850,55.1340,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Waves Grande","Sobha Hartland, Mohammed Bin Rashid City, Dubai","Apartment",2,2,911,25.1810,55.3170,2200000,2150000,2100000,2050000,2000000,1950000,1900000,1850000,1800000,1750000,1700000
"Kensington Waters B","Kensington Waters, Mohammed Bin Rashid City, Dubai","Apartment",2,2,826,25.1810,55.3170,2100000,2050000,2000000,1950000,1900000,1850000,1800000,1750000,1700000,1650000,1600000
"Qamar 2","Madinat Badr, Al Muhaisnah, Dubai","Apartment",2,2,880,25.2700,55.4100,1200000,1170000,1140000,1110000,1080000,1050000,1020000,990000,960000,930000,900000
"The Address Fountain Views","Downtown Dubai, Dubai","Apartment",3,4,2100,25.1972,55.2744,12000000,11700000,11400000,11100000,10800000,10500000,10200000,9900000,9600000,9300000,9000000
"The Residences 7","Downtown Dubai, Dubai","Apartment",2,3,1450,25.1972,55.2744,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000,3800000
"Marina Quays West","Dubai Marina, Dubai","Apartment",2,3,1250,25.0800,55.1400,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000
"The Torch","Dubai Marina, Dubai","Apartment",2,2,1200,25.0800,55.1400,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000,2050000,2000000
"Princess Tower","Dubai Marina, Dubai","Apartment",3,4,2000,25.0800,55.1400,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Cayan Tower","Dubai Marina, Dubai","Apartment",2,3,1500,25.0800,55.1400,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"The Address Dubai Marina","Dubai Marina, Dubai","Apartment",2,3,1400,25.0800,55.1400,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000,4100000,4000000
"Marina Promenade Attessa","Dubai Marina, Dubai","Apartment",2,2,1405,25.0800,55.1400,3200000,3150000,3100000,3050000,3000000,2950000,2900000,2850000,2800000,2750000,2700000
"The Address Boulevard","Downtown Dubai, Dubai","Apartment",2,3,1700,25.1972,55.2744,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"South Ridge 5","Downtown Dubai, Dubai","Apartment",3,4,1900,25.1972,55.2744,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"The Lofts Central","Downtown Dubai, Dubai","Apartment",1,2,900,25.1972,55.2744,2000000,1950000,1900000,1850000,1800000,1750000,1700000,1650000,1600000,1550000,1500000
"Burj Vista 1","Downtown Dubai, Dubai","Apartment",2,3,1500,25.1972,55.2744,4500000,4400000,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000
"The Address Sky View Tower 2","Downtown Dubai, Dubai","Apartment",3,4,2020,25.1972,55.2744,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000,7500000
"The Address Residence Fountain Views 2","Downtown Dubai, Dubai","Apartment",2,3,1400,25.1972,55.2744,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"The Address Residence Sky View 1","Downtown Dubai, Dubai","Apartment",2,3,1600,25.1972,55.2744,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"The Address Residence Sky View 2","Downtown Dubai, Dubai","Apartment",3,4,2020,25.1972,55.2744,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000,7500000
"The Address Residence Fountain Views 1","Downtown Dubai, Dubai","Apartment",2,3,1400,25.1972,55.2744,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"The Address Residence Fountain Views 3","Downtown Dubai, Dubai","Apartment",3,4,2100,25.1972,55.2744,12000000,11700000,11400000,11100000,10800000,10500000,10200000,9900000,9600000,9300000,9000000
"The Address Residence Sky View 3","Downtown Dubai, Dubai","Apartment",4,5,2500,25.1972,55.2744,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000
"The Address Residence Sky View 4","Downtown Dubai, Dubai","Apartment",5,6,3000,25.1972,55.2744,20000000,19500000,19000000,18500000,18000000,17500000,17000000,16500000,16000000,15500000,15000000
"The Address Residence Fountain Views 4","Downtown Dubai, Dubai","Apartment",5,6,3000,25.1972,55.2744,20000000,19500000,19000000,18500000,18000000,17500000,17000000,16500000,16000000,15500000,15000000
"BLVD Heights Tower 2","BLVD Heights, Downtown Dubai, Dubai","Apartment",2,3,867,25.1972,55.2744,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Ocean Heights","Dubai Marina, Dubai","Apartment",2,3,912,25.0800,55.1400,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000
"Al Andalus Tower E","Al Andalus, Jumeirah Golf Estates, Dubai","Apartment",2,3,1367,25.0490,55.1840,2700000,2600000,2500000,2400000,2300000,2200000,2100000,2000000,1900000,1800000,1700000
"Golf Promenade 2A","Golf Promenade, DAMAC Hills, Dubai","Apartment",2,2,829,25.0030,55.2470,1200000,1170000,1140000,1110000,1080000,1050000,1020000,990000,960000,930000,900000
"Harbour Views 1","Dubai Creek Harbour (The Lagoons), Dubai","Apartment",2,2,709,25.2050,55.3430,1800000,1750000,1700000,1650000,1600000,1550000,1500000,1450000,1400000,1350000,1300000
"Downtown Views II Tower 1","Downtown Views II, Downtown Dubai, Dubai","Apartment",1,2,744,25.1972,55.2744,2100000,2050000,2000000,1950000,1900000,1850000,1800000,1750000,1700000,1650000,1600000
"Hilton Dubai Creek Hotel & Residences","Port Saeed, Deira, Dubai","Hotel Apartment",1,2,795,25.2630,55.3250,2200000,2150000,2100000,2050000,2000000,1950000,1900000,1850000,1800000,1750000,1700000
"The Grove by Iman","Dubai Hills Estate, Dubai","Apartment",2,2,1266,25.0995,55.2760,2600000,2550000,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000
"Trinity","DAMAC Hills, Dubai","Townhouse",3,4,2064,25.0030,55.2470,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000,2400000,2300000,2200000
"The Pulse Villas Phase 2","The Pulse, Dubai South (Dubai World Central), Dubai","Townhouse",4,5,2705,24.8897,55.1571,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Camelia 2","Camelia, Arabian Ranches 2, Dubai","Townhouse",4,5,2209,25.0456,55.2708,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Nad Al Sheba Villas","Nad Al Sheba 3, Nad Al Sheba, Dubai","Villa",5,6,12000,25.1550,55.3710,12000000,11600000,11200000,10800000,10400000,10000000,9600000,9200000,8800000,8400000,8000000
"Meadows 7","Meadows, Dubai","Villa",5,6,3697,25.0650,55.1700,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"Meadows 5","Meadows, Dubai","Villa",6,7,6201,25.0650,55.1700,12000000,11600000,11200000,10800000,10400000,10000000,9600000,9200000,8800000,8400000,8000000
"Meadows 2","Meadows, Dubai","Villa",5,6,5811,25.0650,55.1700,11000000,10600000,10200000,9800000,9400000,9000000,8600000,8200000,7800000,7400000,7000000
"Nad Al Sheba 4","Nad Al Sheba, Dubai","Villa",6,7,14997,25.1550,55.3710,18000000,17500000,17000000,16500000,16000000,15500000,15000000,14500000,14000000,13500000,13000000
"Building 9 City Walk","City Walk, Dubai","Apartment",2,3,1697,25.2070,55.2650,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000,3100000,3000000
"Al Reem 2","Al Reem, Arabian Ranches, Dubai","Townhouse",3,4,3069,25.0456,55.2708,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"Springs 3","The Springs, Dubai","Villa",3,4,1690,25.0520,55.1810,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Springs 8","The Springs, Dubai","Villa",3,4,1794,25.0520,55.1810,4300000,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000
"Springs 12","The Springs, Dubai","Villa",3,4,1686,25.0520,55.1810,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000,3100000
"Springs 14","The Springs, Dubai","Villa",3,4,2904,25.0520,55.1810,5200000,5100000,5000000,4900000,4800000,4700000,4600000,4500000,4400000,4300000,4200000
"Springs 6","The Springs, Dubai","Villa",4,5,2456,25.0520,55.1810,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"Mirdif Villas","Mirdif, Dubai","Villa",6,7,9951,25.2230,55.4100,9000000,8700000,8400000,8100000,7800000,7500000,7200000,6900000,6600000,6300000,6000000
"Ponderosa","The Villa, Dubai","Villa",6,7,5700,25.0730,55.3830,12000000,11600000,11200000,10800000,10400000,10000000,9600000,9200000,8800000,8400000,8000000
"Beach Vista","EMAAR Beachfront, Dubai Harbour, Dubai","Apartment",2,2,711,25.0850,55.1340,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000,2050000,2000000
"Palm Views West","Palm Views, Palm Jumeirah, Dubai","Apartment",1,1,505,25.1122,55.1386,1200000,1170000,1140000,1110000,1080000,1050000,1020000,990000,960000,930000,900000
"Murano Residences 1","Murano Residences, Al Furjan, Dubai","Apartment",1,1,906,25.0470,55.1400,950000,930000,910000,890000,870000,850000,830000,810000,790000,770000,750000
"AZIZI Pearl","Al Furjan, Dubai","Apartment",1,1,543,25.0470,55.1400,800000,780000,760000,740000,720000,700000,680000,660000,640000,620000,600000
"Sparkle Tower 3","Sparkle Towers, Dubai Marina, Dubai","Apartment",1,1,393,25.0800,55.1400,1100000,1080000,1060000,1040000,1020000,1000000,980000,960000,940000,920000,900000
"Aknan Villas","Amazonia, Damac Hills 2, Dubai","Townhouse",3,4,1208,24.8850,55.3040,1800000,1750000,1700000,1650000,1600000,1550000,1500000,1450000,1400000,1350000,1300000
"Downtown Views","Zabeel 2, Zabeel, Dubai","Apartment",2,2,1418,25.2070,55.3170,2600000,2550000,2500000,2450000,2400000,2350000,2300000,2250000,2200000,2150000,2100000
"The Address Residences Dubai Opera","Downtown Dubai, Dubai","Apartment",2,3,1200,25.1972,55.2744,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000,4500000
"Vida Residence Downtown","Downtown Dubai, Dubai","Apartment",2,3,1400,25.1972,55.2744,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"The Address Fountain Views 2","Downtown Dubai, Dubai","Apartment",3,4,2100,25.1972,55.2744,12000000,11700000,11400000,11100000,10800000,10500000,10200000,9900000,9600000,9300000,9000000
"The Address Fountain Views 3","Downtown Dubai, Dubai","Apartment",4,5,2500,25.1972,55.2744,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000
"The Address Fountain Views 4","Downtown Dubai, Dubai","Apartment",5,6,3000,25.1972,55.2744,20000000,19500000,19000000,18500000,18000000,17500000,17000000,16500000,16000000,15500000,15000000
"The Address Residence Sky View Tower 1","Downtown Dubai, Dubai","Apartment",2,3,1600,25.1972,55.2744,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000,6000000
"The Address Residence Sky View Tower 2","Downtown Dubai, Dubai","Apartment",3,4,2020,25.1972,55.2744,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000,7500000
"The Address Residence Sky View Tower 3","Downtown Dubai, Dubai","Apartment",4,5,2500,25.1972,55.2744,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000
"The Address Residence Sky View Tower 4","Downtown Dubai, Dubai","Apartment",5,6,3000,25.1972,55.2744,20000000,19500000,19000000,18500000,18000000,17500000,17000000,16500000,16000000,15500000,15000000
"The Address Residence Fountain Views Tower 1","Downtown Dubai, Dubai","Apartment",2,3,1400,25.1972,55.2744,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"The Address Residence Fountain Views Tower 2","Downtown Dubai, Dubai","Apartment",3,4,2100,25.1972,55.2744,12000000,11700000,11400000,11100000,10800000,10500000,10200000,9900000,9600000,9300000,9000000
"The Address Residence Fountain Views Tower 3","Downtown Dubai, Dubai","Apartment",4,5,2500,25.1972,55.2744,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000,10000000
"The Address Residence Fountain Views Tower 4","Downtown Dubai, Dubai","Apartment",5,6,3000,25.1972,55.2744,20000000,19500000,19000000,18500000,18000000,17500000,17000000,16500000,16000000,15500000,15000000
"The Address Residence Sky View Tower 5","Downtown Dubai, Dubai","Apartment",6,7,3500,25.1972,55.2744,25000000,24500000,24000000,23500000,23000000,22500000,22000000,21500000,21000000,20500000,20000000
"The Address Residence Sky View Tower 6","Downtown Dubai, Dubai","Apartment",7,8,4000,25.1972,55.2744,30000000,29500000,29000000,28500000,28000000,27500000,27000000,26500000,26000000,25500000,25000000
"The Address Residence Sky View Tower 7","Downtown Dubai, Dubai","Apartment",8,9,4500,25.1972,55.2744,35000000,34500000,34000000,33500000,33000000,32500000,32000000,31500000,31000000,30500000,30000000
"The Address Residence Sky View Tower 8","Downtown Dubai, Dubai","Apartment",9,10,5000,25.1972,55.2744,40000000,39500000,39000000,38500000,38000000,37500000,37000000,36500000,36000000,35500000,35000000
"The Address Residence Sky View Tower 9","Downtown Dubai, Dubai","Apartment",10,11,5500,25.1972,55.2744,45000000,44500000,44000000,43500000,43000000,42500000,42000000,41500000,41000000,40500000,40000000
"The Address Residence Sky View Tower 10","Downtown Dubai, Dubai","Apartment",11,12,6000,25.1972,55.2744,50000000,49500000,49000000,48500000,48000000,47500000,47000000,46500000,46000000,45500000,45000000
"The Address Residences Jumeirah Resort and Spa","Jumeirah Beach Residence, Dubai","Apartment",2,3,1400,25.0805,55.1372,8500000,8300000,8100000,7900000,7700000,7500000,7300000,7100000,6900000,6700000,6500000
"The Residences at Marina Gate","Dubai Marina, Dubai","Apartment",3,4,1800,25.0800,55.1400,6000000,5800000,5600000,5400000,5200000,5000000,4800000,4600000,4400000,4200000,4000000
"DAMAC Heights","Dubai Marina, Dubai","Apartment",2,3,1300,25.0800,55.1400,4200000,4100000,4000000,3900000,3800000,3700000,3600000,3500000,3400000,3300000,3200000
"Marina Arcade Tower","Dubai Marina, Dubai","Apartment",2,3,1200,25.0800,55.1400,3500000,3400000,3300000,3200000,3100000,3000000,2900000,2800000,2700000,2600000,2500000
"The Address Dubai Mall","Downtown Dubai, Dubai","Apartment",2,3,1500,25.1972,55.2744,7000000,6800000,6600000,6400000,6200000,6000000,5800000,5600000,5400000,5200000,5000000
"The Address BLVD","Downtown Dubai, Dubai","Apartment",3,4,1800,25.1972,55.2744,9000000,8800000,8600000,8400000,8200000,8000000,7800000,7600000,7400000,7200000,7000000
"The Address Fountain Views Tower 5","Downtown Dubai, Dubai","Apartment",4,5,2500,25.1972,55.2744,16000000,15500000,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000
"The Address Fountain Views Tower 6","Downtown Dubai, Dubai","Apartment",5,6,3000,25.1972,55.2744,21000000,20500000,20000000,19500000,19000000,18500000,18000000,17500000,17000000,16500000,16000000
"The Address Sky View Tower 3","Downtown Dubai, Dubai","Apartment",4,5,2500,25.1972,55.2744,15500000,15000000,14500000,14000000,13500000,13000000,12500000,12000000,11500000,11000000,10500000
"The Address Sky View Tower 4","Downtown Dubai, Dubai","Apartment",5,6,3000,25.1972,55.2744,20500000,20000000,19500000,19000000,18500000,18000000,17500000,17000000,16500000,16000000,15500000
"The Address Sky View Tower 5","Downtown Dubai, Dubai","Apartment",6,7,3500,25.1972,55.2744,25500000,25000000,24500000,24000000,23500000,23000000,22500000,22000000,21500000,21000000,20500000
"The Address Sky View Tower 6","Downtown Dubai, Dubai","Apartment",7,8,4000,25.1972,55.2744,30500000,30000000,29500000,29000000,28500000,28000000,27500000,27000000,26500000,26000000,25500000
"The Address Sky View Tower 7","Downtown Dubai, Dubai","Apartment",8,9,4500,25.1972,55.2744,35500000,35000000,34500000,34000000,33500000,33000000,32500000,32000000,31500000,31000000,30500000
"The Address Sky View Tower 8","Downtown Dubai, Dubai","Apartment",9,10,5000,25.1972,55.2744,40500000,40000000,39500000,39000000,38500000,38000000,37500000,37000000,36500000,36000000,35500000
"The Address Sky View Tower 9","Downtown Dubai, Dubai","Apartment",10,11,5500,25.1972,55.2744,45500000,45000000,44500000,44000000,43500000,43000000,42500000,42000000,41500000,41000000,40500000
"The Address Sky View Tower 10","Downtown Dubai, Dubai","Apartment",11,12,6000,25.1972,55.2744,50500000,50000000,49500000,49000000,48500000,48000000,47500000,47000000,46500000,46000000,45500000
"The Address Residences Dubai Opera Tower 1","Downtown Dubai, Dubai","Apartment",2,3,1200,25.1972,55.2744,6700000,6500000,6300000,6100000,5900000,5700000,5500000,5300000,5100000,4900000,4700000
"The Address Residences Dubai Opera Tower 2","Downtown Dubai, Dubai","Apartment",3,4,1500,25.1972,55.2744,8200000,8000000,7800000,7600000,7400000,7200000,7000000,6800000,6600000,6400000,6200000
"The Address Residences Dubai Opera Tower 3","Downtown Dubai, Dubai","Apartment",4,5,1800,25.1972,55.2744,9700000,9500000,9300000,9100000,8900000,8700000,8500000,8300000,8100000,7900000,7700000
"The Address Residences Dubai Opera Tower 4","Downtown Dubai, Dubai","Apartment",5,6,2100,25.1972,55.2744,11200000,11000000,10800000,10600000,10400000,10200000,10000000,9800000,9600000,9400000,9200000
"The Address Residences Dubai Opera Tower 5","Downtown Dubai, Dubai","Apartment",6,7,2400,25.1972,55.2744,12700000,12500000,12300000,12100000,11900000,11700000,11500000,11300000,11100000,10900000,10700000
"The Address Residences Dubai Opera Tower 6","Downtown Dubai, Dubai","Apartment",7,8,2700,25.1972,55.2744,14200000,14000000,13800000,13600000,13400000,13200000,13000000,12800000,12600000,12400000,12200000
"The Address Residences Dubai Opera Tower 7","Downtown Dubai, Dubai","Apartment",8,9,3000,25.1972,55.2744,15700000,15500000,15300000,15100000,14900000,14700000,14500000,14300000,14100000,13900000,13700000
"The Address Residences Dubai Opera Tower 8","Downtown Dubai, Dubai","Apartment",9,10,3300,25.1972,55.2744,17200000,17000000,16800000,16600000,16400000,16200000,16000000,15800000,15600000,15400000,15200000
